target,LOCAL,GLOBAL,FOREST,TARGET
Cloud Shadows,0.0,0.0,0.0,99559.4133975813
Clouds,0.06148486751019417,0.0680701918690125,0.024655492615175155,1820049.986396012
Dense Sargassum,0.9999999999999343,0.9999999999999343,0.9999999999999343,9127.912216501774
Foam,0.0,0.0,0.0,2675.3119736618332
Marine Debris,0.9877340584716369,0.9864689192299476,0.921558144317299,30514.181684430576
Marine Water,0.004909887589114023,0.010545443235232644,0.015884899361164724,1270843.0534008432
Mixed Water,0.3451693024546527,0.3218488764829356,0.3649102658044216,2046.493207521586
Natural Organic Material,0.9935071525276798,0.9935071525276798,0.827370882247664,5072.953477429205
Sediment-Laden Water,0.021785878317808528,0.7748895432491373,0.0013193891275066437,6138503.689188682
Shallow Water,0.08958917797873835,0.08989031400273664,0.035094826924105,281297.8124549508
Ship,0.9707480629180175,0.9737236746175388,0.7074913687517833,111193.72168957484
Sparse Sargassum,0.9099600859432975,0.9509081150880219,0.9509081150880219,3495.4224801525133
Turbid Water,0.009668538467436007,0.007746147348825604,0.001704626812604449,1469255.0573624987
Wakes,0.22112057161847987,0.35391722475852017,0.26313921211887065,237419.04521561222
