,,Random Search,Random Search,Random Search,Shared,Shared,Shared
,,precision,recall,f1-score,precision,recall,f1-score
features,category,,,,,,
standard,Clouds,0.9095096179897046,0.6545135503996881,0.7612244897959184,0.893644617380026,0.6716708910118931,0.7669189670525378
standard,Organic Debris,0.7763975155279503,0.7352941176470589,0.7552870090634441,0.7733333333333333,0.6823529411764706,0.725
standard,Ship,0.5227400336889388,0.6474269819193325,0.5784405094749923,0.553012048192771,0.6383866481223922,0.5926404131697869
standard,Other Water types,0.9247429650525727,0.9831697402339877,0.9530617393707126,0.9246925392639612,0.982153480071386,0.9525572450267443
standard,Cloud Shadows,0.00546448087431694,0.0005858230814294083,0.001058201058201058,0.005555555555555556,0.0005858230814294083,0.0010598834128245891
standard,Non-Organic Debris,0.701534170153417,0.8809106830122592,0.781055900621118,0.6976421636615812,0.8809106830122592,0.7786377708978327
standard,Sargassum,0.9924299772899319,0.9445244956772334,0.9678848283499446,0.9924812030075187,0.9510086455331412,0.9713024282560706
standard,accuracy,0.9043490255581611,0.9043490255581611,0.9043490255581611,0.9050190159024178,0.9050190159024178,0.9050190159024178
standard,macro avg,0.6904026800824046,0.6923464845672841,0.685430382533476,0.6914802086278211,0.6867241588584244,0.6840166725451138
normalized_indices,Clouds,0.8553550640279395,0.5730161824917138,0.6862813776999416,0.8746321365509123,0.5794501852212907,0.6970798639615339
normalized_indices,Organic Debris,0.8512396694214877,0.6058823529411764,0.7079037800687286,0.9217391304347826,0.6235294117647059,0.743859649122807
normalized_indices,Ship,0.5097294731846227,0.7468706536856745,0.6059238363892807,0.6212370005473454,0.7892906815020863,0.6952526799387443
normalized_indices,Other Water types,0.9312077385424493,0.9830953797342852,0.9564483457123566,0.9229178766407248,0.9847065238945072,0.9528115219033686
normalized_indices,Cloud Shadows,0.2024793388429752,0.02870533099004101,0.050282195997947664,0.03333333333333333,0.0029291154071470417,0.005385029617662898
normalized_indices,Non-Organic Debris,0.5378787878787878,0.8704028021015762,0.6648829431438127,0.5661680092059839,0.861646234676007,0.6833333333333333
normalized_indices,Sargassum,0.9818867924528302,0.9373198847262247,0.959085882786583,0.9836187639612807,0.9517291066282421,0.9674112046869278
normalized_indices,accuracy,0.8990679251975486,0.8990679251975486,0.8990679251975486,0.9016887697794943,0.9016887697794943,0.9016887697794943
normalized_indices,macro avg,0.6956824091930132,0.677898940952956,0.6615440516855217,0.7033780358106233,0.6847544655848551,0.6778761832234826
indices,Clouds,0.7820388349514563,0.628192630142328,0.6967239701589361,0.7863733144073811,0.6480795476701111,0.7105600684053014
indices,Organic Debris,0.6421052631578947,0.7176470588235294,0.6777777777777779,0.6420454545454546,0.6647058823529411,0.6531791907514451
indices,Ship,0.5982142857142857,0.605702364394993,0.6019350380096752,0.630690161527166,0.5973574408901252,0.6135714285714285
indices,Other Water types,0.914555633310007,0.9718173706127305,0.942317398514673,0.9152095249212093,0.9717182232797937,0.9426177280323159
indices,Cloud Shadows,0.2868217054263566,0.021675454012888107,0.04030501089324619,0.26174496644295303,0.022847100175746926,0.042025862068965525
indices,Non-Organic Debris,0.7007299270072993,0.840630472854641,0.7643312101910829,0.6917613636363636,0.8528896672504378,0.7639215686274509
indices,Sargassum,0.9807247494217425,0.9164265129682997,0.9474860335195531,0.9783616692426584,0.9121037463976945,0.9440715883668904
indices,accuracy,0.890909807476304,0.890909807476304,0.890909807476304,0.8924862553451436,0.8924862553451436,0.8924862553451436
indices,macro avg,0.7007414855698632,0.67172740911563,0.6672680627235635,0.7008837792461694,0.6671002297166929,0.6671353478319711
normalized_bands,Clouds,0.838038958196542,0.7465392864106064,0.7896473499690658,0.83630335681724,0.7868980308052251,0.8108488196885987
normalized_bands,Organic Debris,0.88,0.7764705882352941,0.825,0.8417721518987342,0.7823529411764706,0.8109756097560976
normalized_bands,Ship,0.9042638777152051,0.7816411682892906,0.8384930995897053,0.8757297748123436,0.7301808066759388,0.7963594994311718
normalized_bands,Other Water types,0.9379661418255002,0.9819303985722784,0.9594448951912713,0.9396660253212665,0.980542335911164,0.9596691047147726
normalized_bands,Cloud Shadows,0.9447415329768271,0.3104862331575864,0.46737213403880074,0.9075975359342916,0.2589338019917985,0.4029170464904284
normalized_bands,Non-Organic Debris,0.7641653905053599,0.8739054290718039,0.8153594771241831,0.7519260400616333,0.8546409807355516,0.8
normalized_bands,Sargassum,0.9775449101796407,0.9409221902017291,0.9588839941262849,0.9714070729872084,0.9301152737752162,0.9503128450496872
normalized_bands,accuracy,0.9268528188858455,0.9268528188858455,0.9268528188858455,0.9261434173448677,0.9261434173448677,0.9261434173448677
normalized_bands,macro avg,0.892388687342725,0.7731278991340841,0.8077429928627586,0.8749145654046739,0.7605234530101949,0.7901547035901081
bands,Clouds,0.8773794808405438,0.6919477480990447,0.7737083060824068,0.8324571428571429,0.7100799376096705,0.7664141414141414
bands,Organic Debris,0.8064516129032258,0.4411764705882353,0.5703422053231939,0.8390804597701149,0.4294117647058823,0.5680933852140078
bands,Ship,0.5439952437574316,0.6363004172461753,0.5865384615384615,0.5475469412477286,0.6286509040333796,0.5853026869537066
bands,Other Water types,0.9265988372093024,0.9164931588340274,0.9215182932907985,0.9272015559221054,0.9335217132659132,0.930350901028865
bands,Cloud Shadows,0.022988505747126436,0.0035149384885764497,0.006097560975609756,0.013100436681222707,0.0017574692442882249,0.0030991735537190084
bands,Non-Organic Debris,0.6340782122905028,0.7950963222416813,0.7055167055167055,0.6353741496598639,0.8178633975481612,0.7151607963246553
bands,Sargassum,0.29733069698467623,0.8667146974063401,0.44276775855723227,0.3942969518190757,0.8667146974063401,0.5420139671097094
bands,accuracy,0.8508286204110588,0.8508286204110588,0.8508286204110588,0.8661398703371628,0.8661398703371628,0.8661398703371628
bands,macro avg,0.5869746556761155,0.6216062504148686,0.5723556130406298,0.5984368054224649,0.6268571262590907,0.5872050073712577
all,Clouds,0.8296016283803431,0.556248781438877,0.6659663865546219,0.8245992601726264,0.5215441606550985,0.6389585572674072
all,Organic Debris,0.9051094890510949,0.7294117647058823,0.8078175895765473,0.8343949044585988,0.7705882352941177,0.8012232415902142
all,Ship,0.8191056910569106,0.8407510431154381,0.8297872340425532,0.7703612982241274,0.874826147426982,0.8192771084337349
all,Other Water types,0.9305796761323633,0.9828475114019433,0.9559997106830291,0.9211131501312458,0.9828722982351775,0.9509910903792885
all,Cloud Shadows,0.9548254620123203,0.5448154657293497,0.6937709809772472,0.9083333333333333,0.31927357937902756,0.47247507585609017
all,Non-Organic Debris,0.6783310901749664,0.882661996497373,0.767123287671233,0.7211948790896159,0.8879159369527145,0.7959183673469388
all,Sargassum,0.9736842105263158,0.9596541786743515,0.9666182873730044,0.9764878765613519,0.957492795389049,0.9668970534739906
all,accuracy,0.9183597059924724,0.9183597059924724,0.9183597059924724,0.9083886732220624,0.9083886732220624,0.9083886732220624
all,macro avg,0.8701767496191879,0.7851986773661735,0.8124404966968909,0.8509263859958428,0.759216164761738,0.777962927763952
