features,bands,bands,bands,indices,indices,indices,normalized_bands,normalized_bands,normalized_bands,normalized_indices,normalized_indices,normalized_indices,standard,standard,standard,normalized,normalized,normalized,all,all,all
,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score
category,,,,,,,,,,,,,,,,,,,,,
Cloud Shadows,0.0229885057471264,0.0035149384885764,0.0060975609756097,0.2868217054263566,0.0216754540128881,0.0403050108932461,0.9447415329768272,0.3104862331575864,0.4673721340388007,0.2024793388429752,0.028705330990041,0.0502821959979476,0.0054644808743169,0.0005858230814294,0.001058201058201,0.9365853658536586,0.3374340949033392,0.4961240310077519,0.9548254620123204,0.5448154657293497,0.6937709809772472
Clouds,0.8773794808405438,0.6919477480990447,0.7737083060824068,0.7820388349514563,0.628192630142328,0.6967239701589361,0.838038958196542,0.7465392864106064,0.7896473499690658,0.8553550640279395,0.5730161824917138,0.6862813776999416,0.9095096179897046,0.6545135503996881,0.7612244897959184,0.9287694013303768,0.6533437317215831,0.7670825226050132,0.8296016283803431,0.556248781438877,0.6659663865546219
Non-Organic Debris,0.6340782122905028,0.7950963222416813,0.7055167055167055,0.7007299270072993,0.840630472854641,0.7643312101910829,0.7641653905053599,0.8739054290718039,0.8153594771241831,0.5378787878787878,0.8704028021015762,0.6648829431438127,0.701534170153417,0.8809106830122592,0.781055900621118,0.7200598802395209,0.8423817863397548,0.7764326069410815,0.6783310901749664,0.882661996497373,0.767123287671233
Organic Debris,0.8064516129032258,0.4411764705882353,0.5703422053231939,0.6421052631578947,0.7176470588235294,0.6777777777777779,0.88,0.7764705882352941,0.825,0.8512396694214877,0.6058823529411764,0.7079037800687286,0.7763975155279503,0.7352941176470589,0.7552870090634441,0.9166666666666666,0.7764705882352941,0.8407643312101911,0.9051094890510948,0.7294117647058823,0.8078175895765473
Other Water types,0.9265988372093024,0.9164931588340274,0.9215182932907984,0.914555633310007,0.9718173706127304,0.942317398514673,0.9379661418255002,0.9819303985722784,0.9594448951912712,0.9312077385424492,0.9830953797342852,0.9564483457123566,0.9247429650525728,0.9831697402339876,0.9530617393707126,0.9338692764767564,0.9933819155264724,0.9627067344070912,0.9305796761323633,0.9828475114019432,0.9559997106830292
Sargassum,0.2973306969846762,0.8667146974063401,0.4427677585572322,0.9807247494217424,0.9164265129682996,0.9474860335195532,0.9775449101796408,0.9409221902017292,0.9588839941262848,0.9818867924528302,0.9373198847262249,0.959085882786583,0.992429977289932,0.9445244956772334,0.9678848283499446,0.9665211062590976,0.956772334293948,0.9616220130340332,0.9736842105263158,0.9596541786743517,0.9666182873730044
Ship,0.5439952437574316,0.6363004172461753,0.5865384615384615,0.5982142857142857,0.605702364394993,0.6019350380096752,0.9042638777152052,0.7816411682892906,0.8384930995897053,0.5097294731846227,0.7468706536856745,0.6059238363892807,0.5227400336889388,0.6474269819193325,0.5784405094749923,0.8165846802529867,0.808066759388039,0.812303390422929,0.8191056910569106,0.8407510431154381,0.8297872340425532
accuracy,0.8508286204110588,0.8508286204110588,0.8508286204110588,0.890909807476304,0.890909807476304,0.890909807476304,0.9268528188858456,0.9268528188858456,0.9268528188858456,0.8990679251975486,0.8990679251975486,0.8990679251975486,0.9043490255581612,0.9043490255581612,0.9043490255581612,0.928271621967801,0.928271621967801,0.928271621967801,0.9183597059924724,0.9183597059924724,0.9183597059924724
macro avg,0.5869746556761155,0.6216062504148686,0.5723556130406298,0.7007414855698632,0.67172740911563,0.6672680627235635,0.892388687342725,0.7731278991340841,0.8077429928627586,0.6956824091930132,0.677898940952956,0.6615440516855217,0.6904026800824046,0.6923464845672841,0.685430382533476,0.8884366252970092,0.7668358872012043,0.8024336613754415,0.8701767496191879,0.7851986773661735,0.8124404966968909
