features,bands,bands,bands,indices,indices,indices,normalized_bands,normalized_bands,normalized_bands,normalized_indices,normalized_indices,normalized_indices,standard,standard,standard,normalized,normalized,normalized,all,all,all
,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score
category,,,,,,,,,,,,,,,,,,,,,
Cloud Shadows,0.0131004366812227,0.0017574692442882,0.003099173553719,0.261744966442953,0.0228471001757469,0.0420258620689655,0.9075975359342916,0.2589338019917985,0.4029170464904284,0.0333333333333333,0.002929115407147,0.0053850296176628,0.0055555555555555,0.0005858230814294,0.0010598834128245,0.9138755980861244,0.335676625659051,0.4910025706940875,0.9083333333333332,0.3192735793790275,0.4724750758560901
Clouds,0.8324571428571429,0.7100799376096705,0.7664141414141414,0.7863733144073811,0.6480795476701111,0.7105600684053014,0.83630335681724,0.7868980308052251,0.8108488196885987,0.8746321365509123,0.5794501852212907,0.6970798639615339,0.893644617380026,0.6716708910118931,0.7669189670525378,0.9186271796291172,0.6471046987716904,0.7593228094257606,0.8245992601726264,0.5215441606550985,0.6389585572674072
Non-Organic Debris,0.6353741496598639,0.8178633975481612,0.7151607963246553,0.6917613636363636,0.8528896672504378,0.7639215686274509,0.7519260400616333,0.8546409807355516,0.8,0.5661680092059839,0.861646234676007,0.6833333333333333,0.6976421636615812,0.8809106830122592,0.7786377708978327,0.7238805970149254,0.8493870402802102,0.7816277195809831,0.7211948790896159,0.8879159369527145,0.7959183673469388
Organic Debris,0.8390804597701149,0.4294117647058823,0.5680933852140078,0.6420454545454546,0.6647058823529411,0.6531791907514451,0.8417721518987342,0.7823529411764706,0.8109756097560976,0.9217391304347826,0.6235294117647059,0.743859649122807,0.7733333333333333,0.6823529411764706,0.725,0.881578947368421,0.788235294117647,0.8322981366459626,0.8343949044585988,0.7705882352941177,0.8012232415902142
Other Water types,0.9272015559221054,0.9335217132659132,0.930350901028865,0.9152095249212092,0.9717182232797936,0.942617728032316,0.9396660253212664,0.980542335911164,0.9596691047147726,0.9229178766407248,0.9847065238945072,0.9528115219033686,0.9246925392639612,0.982153480071386,0.9525572450267444,0.9349832900979224,0.9916468372000792,0.9624818062622544,0.9211131501312458,0.9828722982351776,0.9509910903792884
Sargassum,0.3942969518190757,0.8667146974063401,0.5420139671097094,0.9783616692426584,0.9121037463976944,0.9440715883668904,0.9714070729872084,0.9301152737752162,0.9503128450496872,0.9836187639612808,0.951729106628242,0.9674112046869278,0.9924812030075189,0.9510086455331412,0.9713024282560706,0.9588744588744588,0.957492795389049,0.9581831290555156,0.976487876561352,0.957492795389049,0.9668970534739906
Ship,0.5475469412477286,0.6286509040333796,0.5853026869537066,0.630690161527166,0.5973574408901252,0.6135714285714285,0.8757297748123436,0.7301808066759388,0.7963594994311718,0.6212370005473454,0.7892906815020863,0.6952526799387443,0.553012048192771,0.6383866481223922,0.5926404131697869,0.7807947019867549,0.8198887343532685,0.799864314789688,0.7703612982241274,0.874826147426982,0.8192771084337349
accuracy,0.8661398703371628,0.8661398703371628,0.8661398703371628,0.8924862553451436,0.8924862553451436,0.8924862553451436,0.9261434173448676,0.9261434173448676,0.9261434173448676,0.9016887697794944,0.9016887697794944,0.9016887697794944,0.9050190159024178,0.9050190159024178,0.9050190159024178,0.926675468500601,0.926675468500601,0.926675468500601,0.9083886732220624,0.9083886732220624,0.9083886732220624
macro avg,0.5984368054224649,0.6268571262590907,0.5872050073712577,0.7008837792461694,0.6671002297166929,0.6671353478319711,0.8749145654046739,0.7605234530101949,0.7901547035901081,0.7033780358106233,0.6847544655848551,0.6778761832234826,0.6914802086278211,0.6867241588584244,0.6840166725451138,0.8732306818653892,0.769918860824428,0.7978257837791788,0.8509263859958428,0.759216164761738,0.777962927763952
