tile,ORIGINAL,LOCAL,GLOBAL,FOREST
S2B_MSIL1C_20171206T030059_N0206_R032_T48MYU_20171206T081708_resampled_msk,1205604,3369,3926,6028
S2A_MSIL1C_20201214T152641_N0209_R025_T18QYF_20201214T171649_resampled_msk,1488782,57874,60276,7440
S2A_MSIL1C_20201015T152651_N0209_R025_T18QYF_20201015T171701_resampled_msk,11265006,214153,236863,56218
S2B_MSIL1C_20201020T152639_N0209_R025_T18QYF_20201020T171805_resampled_msk,3637160,7582,9544,18182
S2B_MSIL1C_20200928T160949_N0209_R140_T16PCC_20200928T195704_resampled_msk,5168572,185308,201103,25806
S2A_MSIL1C_20201212T161651_N0209_R140_T16PCC_20201212T195535_resampled_msk,25008132,116185,174288,124989
S2B_MSIL1C_20201129T152639_N0209_R025_T18QYF_20201129T171704_resampled_msk,12206944,49411,51486,61003
S2A_MSIL1C_20200915T152641_N0209_R025_T18QYF_20200915T190255_resampled_msk,7878856,68294,67292,39383
S2A_MSIL1C_20200824T160911_N0209_R140_T16PCC_20200824T214439_resampled_msk,37481320,142452,247500,187368
S2B_MSIL1C_20201229T152639_N0209_R025_T18QYF_20201229T171806_resampled_msk,4575894,139203,167699,22869
S2A_MSIL1C_20201115T162541_N0209_R040_T16PCC_20201115T183321_resampled_msk,14899632,315758,490273,74428
S2A_MSIL1C_20210103T152641_N0209_R025_T18QYF_20210103T171702_resampled_msk,2411208,15689,15984,12055
S2A_MSIL1C_20191201T030101_N0208_R032_T48MYU_20191201T062906_resampled_msk,3603936,10403,10042,18018
S2B_MSIL1C_20200918T160839_N0209_R140_T16PCC_20200918T194532_resampled_msk,68300614,600056,977931,341321
S2A_MSIL1C_20201204T152641_N0209_R025_T18QYF_20201204T172051_resampled_msk,5407940,51510,62274,27030
